phone_name,cost,spec_score,Sim_specification,Processor_specification,memory_specification,battery_specification,display_specification,camera_specification,android_specification,fm_radio_specification
Vivo Y300 5G,"₹21,999",83,"Vivo Y300 5G₹21,999Dual Sim, 3G, 4G, 5G, VoLTE, Wi-FiSnapdragon 4 Gen2, Octa Core, 2.2 GHz Processor8 GB RAM, 128 GB inbuilt5000 mAh Battery with 80W Fast Charging6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole50 MP + 2 MP Dual Rear & 32 MP Front CameraMemory Card (Hybrid), upto 2 TBAndroid v1483Spec ScoreCompareLikeView →","Vivo Y300 5G₹21,999Dual Sim, 3G, 4G, 5G, VoLTE, Wi-FiSnapdragon 4 Gen2, Octa Core, 2.2 GHz Processor8 GB RAM, 128 GB inbuilt5000 mAh Battery with 80W Fast Charging6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole50 MP + 2 MP Dual Rear & 32 MP Front CameraMemory Card (Hybrid), upto 2 TBAndroid v1483Spec ScoreCompareLikeView →","Vivo Y300 5G₹21,999Dual Sim, 3G, 4G, 5G, VoLTE, Wi-FiSnapdragon 4 Gen2, Octa Core, 2.2 GHz Processor8 GB RAM, 128 GB inbuilt5000 mAh Battery with 80W Fast Charging6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole50 MP + 2 MP Dual Rear & 32 MP Front CameraMemory Card (Hybrid), upto 2 TBAndroid v1483Spec ScoreCompareLikeView →","Vivo Y300 5G₹21,999Dual Sim, 3G, 4G, 5G, VoLTE, Wi-FiSnapdragon 4 Gen2, Octa Core, 2.2 GHz Processor8 GB RAM, 128 GB inbuilt5000 mAh Battery with 80W Fast Charging6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole50 MP + 2 MP Dual Rear & 32 MP Front CameraMemory Card (Hybrid), upto 2 TBAndroid v1483Spec ScoreCompareLikeView →","Vivo Y300 5G₹21,999Dual Sim, 3G, 4G, 5G, VoLTE, Wi-FiSnapdragon 4 Gen2, Octa Core, 2.2 GHz Processor8 GB RAM, 128 GB inbuilt5000 mAh Battery with 80W Fast Charging6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole50 MP + 2 MP Dual Rear & 32 MP Front CameraMemory Card (Hybrid), upto 2 TBAndroid v1483Spec ScoreCompareLikeView →","Vivo Y300 5G₹21,999Dual Sim, 3G, 4G, 5G, VoLTE, Wi-FiSnapdragon 4 Gen2, Octa Core, 2.2 GHz Processor8 GB RAM, 128 GB inbuilt5000 mAh Battery with 80W Fast Charging6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole50 MP + 2 MP Dual Rear & 32 MP Front CameraMemory Card (Hybrid), upto 2 TBAndroid v1483Spec ScoreCompareLikeView →","Vivo Y300 5G₹21,999Dual Sim, 3G, 4G, 5G, VoLTE, Wi-FiSnapdragon 4 Gen2, Octa Core, 2.2 GHz Processor8 GB RAM, 128 GB inbuilt5000 mAh Battery with 80W Fast Charging6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole50 MP + 2 MP Dual Rear & 32 MP Front CameraMemory Card (Hybrid), upto 2 TBAndroid v1483Spec ScoreCompareLikeView →","Vivo Y300 5G₹21,999Dual Sim, 3G, 4G, 5G, VoLTE, Wi-FiSnapdragon 4 Gen2, Octa Core, 2.2 GHz Processor8 GB RAM, 128 GB inbuilt5000 mAh Battery with 80W Fast Charging6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole50 MP + 2 MP Dual Rear & 32 MP Front CameraMemory Card (Hybrid), upto 2 TBAndroid v1483Spec ScoreCompareLikeView →"
Xiaomi Redmi A4 5G,"₹8,499",70,"Xiaomi Redmi A4 5G₹8,499Dual Sim, 3G, 4G, 5G, VoLTE, Wi-FiSnapdragon 4s Gen2, Octa Core, 2 GHz Processor4 GB RAM, 64 GB inbuilt5160 mAh Battery with 18W Fast Charging6.88 inches, 720 x 1640 px, 120 Hz Display with Water Drop Notch50 MP Dual Rear & 5 MP Front CameraMemory Card Supported, upto 1 TBAndroid v1470Spec ScoreCompareLikeView →","Xiaomi Redmi A4 5G₹8,499Dual Sim, 3G, 4G, 5G, VoLTE, Wi-FiSnapdragon 4s Gen2, Octa Core, 2 GHz Processor4 GB RAM, 64 GB inbuilt5160 mAh Battery with 18W Fast Charging6.88 inches, 720 x 1640 px, 120 Hz Display with Water Drop Notch50 MP Dual Rear & 5 MP Front CameraMemory Card Supported, upto 1 TBAndroid v1470Spec ScoreCompareLikeView →","Xiaomi Redmi A4 5G₹8,499Dual Sim, 3G, 4G, 5G, VoLTE, Wi-FiSnapdragon 4s Gen2, Octa Core, 2 GHz Processor4 GB RAM, 64 GB inbuilt5160 mAh Battery with 18W Fast Charging6.88 inches, 720 x 1640 px, 120 Hz Display with Water Drop Notch50 MP Dual Rear & 5 MP Front CameraMemory Card Supported, upto 1 TBAndroid v1470Spec ScoreCompareLikeView →","Xiaomi Redmi A4 5G₹8,499Dual Sim, 3G, 4G, 5G, VoLTE, Wi-FiSnapdragon 4s Gen2, Octa Core, 2 GHz Processor4 GB RAM, 64 GB inbuilt5160 mAh Battery with 18W Fast Charging6.88 inches, 720 x 1640 px, 120 Hz Display with Water Drop Notch50 MP Dual Rear & 5 MP Front CameraMemory Card Supported, upto 1 TBAndroid v1470Spec ScoreCompareLikeView →","Xiaomi Redmi A4 5G₹8,499Dual Sim, 3G, 4G, 5G, VoLTE, Wi-FiSnapdragon 4s Gen2, Octa Core, 2 GHz Processor4 GB RAM, 64 GB inbuilt5160 mAh Battery with 18W Fast Charging6.88 inches, 720 x 1640 px, 120 Hz Display with Water Drop Notch50 MP Dual Rear & 5 MP Front CameraMemory Card Supported, upto 1 TBAndroid v1470Spec ScoreCompareLikeView →","Xiaomi Redmi A4 5G₹8,499Dual Sim, 3G, 4G, 5G, VoLTE, Wi-FiSnapdragon 4s Gen2, Octa Core, 2 GHz Processor4 GB RAM, 64 GB inbuilt5160 mAh Battery with 18W Fast Charging6.88 inches, 720 x 1640 px, 120 Hz Display with Water Drop Notch50 MP Dual Rear & 5 MP Front CameraMemory Card Supported, upto 1 TBAndroid v1470Spec ScoreCompareLikeView →","Xiaomi Redmi A4 5G₹8,499Dual Sim, 3G, 4G, 5G, VoLTE, Wi-FiSnapdragon 4s Gen2, Octa Core, 2 GHz Processor4 GB RAM, 64 GB inbuilt5160 mAh Battery with 18W Fast Charging6.88 inches, 720 x 1640 px, 120 Hz Display with Water Drop Notch50 MP Dual Rear & 5 MP Front CameraMemory Card Supported, upto 1 TBAndroid v1470Spec ScoreCompareLikeView →","Xiaomi Redmi A4 5G₹8,499Dual Sim, 3G, 4G, 5G, VoLTE, Wi-FiSnapdragon 4s Gen2, Octa Core, 2 GHz Processor4 GB RAM, 64 GB inbuilt5160 mAh Battery with 18W Fast Charging6.88 inches, 720 x 1640 px, 120 Hz Display with Water Drop Notch50 MP Dual Rear & 5 MP Front CameraMemory Card Supported, upto 1 TBAndroid v1470Spec ScoreCompareLikeView →"
Realme GT 7 Pro 5G,"₹59,999",90,"Realme GT 7 Pro 5G₹59,999Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR BlasterSnapdragon 8 Elite, Octa Core, 4.32 GHz Processor12 GB RAM, 256 GB inbuilt5800 mAh Battery with 120W Fast Charging6.78 inches, 1264 x 2780 px, 120 Hz Display with Punch Hole50 MP + 50 MP + 8 MP Triple Rear & 16 MP Front CameraMemory Card Not SupportedAndroid v1590Spec ScoreCompareLikeView →","Realme GT 7 Pro 5G₹59,999Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR BlasterSnapdragon 8 Elite, Octa Core, 4.32 GHz Processor12 GB RAM, 256 GB inbuilt5800 mAh Battery with 120W Fast Charging6.78 inches, 1264 x 2780 px, 120 Hz Display with Punch Hole50 MP + 50 MP + 8 MP Triple Rear & 16 MP Front CameraMemory Card Not SupportedAndroid v1590Spec ScoreCompareLikeView →","Realme GT 7 Pro 5G₹59,999Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR BlasterSnapdragon 8 Elite, Octa Core, 4.32 GHz Processor12 GB RAM, 256 GB inbuilt5800 mAh Battery with 120W Fast Charging6.78 inches, 1264 x 2780 px, 120 Hz Display with Punch Hole50 MP + 50 MP + 8 MP Triple Rear & 16 MP Front CameraMemory Card Not SupportedAndroid v1590Spec ScoreCompareLikeView →","Realme GT 7 Pro 5G₹59,999Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR BlasterSnapdragon 8 Elite, Octa Core, 4.32 GHz Processor12 GB RAM, 256 GB inbuilt5800 mAh Battery with 120W Fast Charging6.78 inches, 1264 x 2780 px, 120 Hz Display with Punch Hole50 MP + 50 MP + 8 MP Triple Rear & 16 MP Front CameraMemory Card Not SupportedAndroid v1590Spec ScoreCompareLikeView →","Realme GT 7 Pro 5G₹59,999Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR BlasterSnapdragon 8 Elite, Octa Core, 4.32 GHz Processor12 GB RAM, 256 GB inbuilt5800 mAh Battery with 120W Fast Charging6.78 inches, 1264 x 2780 px, 120 Hz Display with Punch Hole50 MP + 50 MP + 8 MP Triple Rear & 16 MP Front CameraMemory Card Not SupportedAndroid v1590Spec ScoreCompareLikeView →","Realme GT 7 Pro 5G₹59,999Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR BlasterSnapdragon 8 Elite, Octa Core, 4.32 GHz Processor12 GB RAM, 256 GB inbuilt5800 mAh Battery with 120W Fast Charging6.78 inches, 1264 x 2780 px, 120 Hz Display with Punch Hole50 MP + 50 MP + 8 MP Triple Rear & 16 MP Front CameraMemory Card Not SupportedAndroid v1590Spec ScoreCompareLikeView →","Realme GT 7 Pro 5G₹59,999Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR BlasterSnapdragon 8 Elite, Octa Core, 4.32 GHz Processor12 GB RAM, 256 GB inbuilt5800 mAh Battery with 120W Fast Charging6.78 inches, 1264 x 2780 px, 120 Hz Display with Punch Hole50 MP + 50 MP + 8 MP Triple Rear & 16 MP Front CameraMemory Card Not SupportedAndroid v1590Spec ScoreCompareLikeView →","Realme GT 7 Pro 5G₹59,999Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR BlasterSnapdragon 8 Elite, Octa Core, 4.32 GHz Processor12 GB RAM, 256 GB inbuilt5800 mAh Battery with 120W Fast Charging6.78 inches, 1264 x 2780 px, 120 Hz Display with Punch Hole50 MP + 50 MP + 8 MP Triple Rear & 16 MP Front CameraMemory Card Not SupportedAndroid v1590Spec ScoreCompareLikeView →"
Xiaomi Redmi Note 13 Pro 5G,"₹17,724",83,"Xiaomi Redmi Note 13 Pro 5G₹17,7246%Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR BlasterSnapdragon 7s Gen 2, Octa Core, 2.4 GHz Processor8 GB RAM, 128 GB inbuilt5100 mAh Battery with 67W Fast Charging6.67 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole200 MP + 8 MP + 2 MP Triple Rear & 16 MP Front CameraAndroid v13No FM Radio83Spec ScoreCompareLikeView →","Xiaomi Redmi Note 13 Pro 5G₹17,7246%Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR BlasterSnapdragon 7s Gen 2, Octa Core, 2.4 GHz Processor8 GB RAM, 128 GB inbuilt5100 mAh Battery with 67W Fast Charging6.67 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole200 MP + 8 MP + 2 MP Triple Rear & 16 MP Front CameraAndroid v13No FM Radio83Spec ScoreCompareLikeView →","Xiaomi Redmi Note 13 Pro 5G₹17,7246%Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR BlasterSnapdragon 7s Gen 2, Octa Core, 2.4 GHz Processor8 GB RAM, 128 GB inbuilt5100 mAh Battery with 67W Fast Charging6.67 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole200 MP + 8 MP + 2 MP Triple Rear & 16 MP Front CameraAndroid v13No FM Radio83Spec ScoreCompareLikeView →","Xiaomi Redmi Note 13 Pro 5G₹17,7246%Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR BlasterSnapdragon 7s Gen 2, Octa Core, 2.4 GHz Processor8 GB RAM, 128 GB inbuilt5100 mAh Battery with 67W Fast Charging6.67 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole200 MP + 8 MP + 2 MP Triple Rear & 16 MP Front CameraAndroid v13No FM Radio83Spec ScoreCompareLikeView →","Xiaomi Redmi Note 13 Pro 5G₹17,7246%Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR BlasterSnapdragon 7s Gen 2, Octa Core, 2.4 GHz Processor8 GB RAM, 128 GB inbuilt5100 mAh Battery with 67W Fast Charging6.67 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole200 MP + 8 MP + 2 MP Triple Rear & 16 MP Front CameraAndroid v13No FM Radio83Spec ScoreCompareLikeView →","Xiaomi Redmi Note 13 Pro 5G₹17,7246%Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR BlasterSnapdragon 7s Gen 2, Octa Core, 2.4 GHz Processor8 GB RAM, 128 GB inbuilt5100 mAh Battery with 67W Fast Charging6.67 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole200 MP + 8 MP + 2 MP Triple Rear & 16 MP Front CameraAndroid v13No FM Radio83Spec ScoreCompareLikeView →","Xiaomi Redmi Note 13 Pro 5G₹17,7246%Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR BlasterSnapdragon 7s Gen 2, Octa Core, 2.4 GHz Processor8 GB RAM, 128 GB inbuilt5100 mAh Battery with 67W Fast Charging6.67 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole200 MP + 8 MP + 2 MP Triple Rear & 16 MP Front CameraAndroid v13No FM Radio83Spec ScoreCompareLikeView →","Xiaomi Redmi Note 13 Pro 5G₹17,7246%Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR BlasterSnapdragon 7s Gen 2, Octa Core, 2.4 GHz Processor8 GB RAM, 128 GB inbuilt5100 mAh Battery with 67W Fast Charging6.67 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole200 MP + 8 MP + 2 MP Triple Rear & 16 MP Front CameraAndroid v13No FM Radio83Spec ScoreCompareLikeView →"
OnePlus Nord CE 3 Lite 5G,"₹14,705",85,"OnePlus Nord CE 3 Lite 5G₹14,7056%Dual Sim, 3G, 4G, 5G, VoLTE, Wi-FiSnapdragon 695 5G, Octa Core, 2.2 GHz Processor8 GB RAM, 128 GB inbuilt5000 mAh Battery with 67W Fast Charging6.72 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole108 MP + 2 MP + 2 MP Triple Rear & 16 MP Front CameraMemory Card (Hybrid), upto 1 TBAndroid v1385Spec ScoreCompareLikeView →","OnePlus Nord CE 3 Lite 5G₹14,7056%Dual Sim, 3G, 4G, 5G, VoLTE, Wi-FiSnapdragon 695 5G, Octa Core, 2.2 GHz Processor8 GB RAM, 128 GB inbuilt5000 mAh Battery with 67W Fast Charging6.72 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole108 MP + 2 MP + 2 MP Triple Rear & 16 MP Front CameraMemory Card (Hybrid), upto 1 TBAndroid v1385Spec ScoreCompareLikeView →","OnePlus Nord CE 3 Lite 5G₹14,7056%Dual Sim, 3G, 4G, 5G, VoLTE, Wi-FiSnapdragon 695 5G, Octa Core, 2.2 GHz Processor8 GB RAM, 128 GB inbuilt5000 mAh Battery with 67W Fast Charging6.72 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole108 MP + 2 MP + 2 MP Triple Rear & 16 MP Front CameraMemory Card (Hybrid), upto 1 TBAndroid v1385Spec ScoreCompareLikeView →","OnePlus Nord CE 3 Lite 5G₹14,7056%Dual Sim, 3G, 4G, 5G, VoLTE, Wi-FiSnapdragon 695 5G, Octa Core, 2.2 GHz Processor8 GB RAM, 128 GB inbuilt5000 mAh Battery with 67W Fast Charging6.72 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole108 MP + 2 MP + 2 MP Triple Rear & 16 MP Front CameraMemory Card (Hybrid), upto 1 TBAndroid v1385Spec ScoreCompareLikeView →","OnePlus Nord CE 3 Lite 5G₹14,7056%Dual Sim, 3G, 4G, 5G, VoLTE, Wi-FiSnapdragon 695 5G, Octa Core, 2.2 GHz Processor8 GB RAM, 128 GB inbuilt5000 mAh Battery with 67W Fast Charging6.72 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole108 MP + 2 MP + 2 MP Triple Rear & 16 MP Front CameraMemory Card (Hybrid), upto 1 TBAndroid v1385Spec ScoreCompareLikeView →","OnePlus Nord CE 3 Lite 5G₹14,7056%Dual Sim, 3G, 4G, 5G, VoLTE, Wi-FiSnapdragon 695 5G, Octa Core, 2.2 GHz Processor8 GB RAM, 128 GB inbuilt5000 mAh Battery with 67W Fast Charging6.72 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole108 MP + 2 MP + 2 MP Triple Rear & 16 MP Front CameraMemory Card (Hybrid), upto 1 TBAndroid v1385Spec ScoreCompareLikeView →","OnePlus Nord CE 3 Lite 5G₹14,7056%Dual Sim, 3G, 4G, 5G, VoLTE, Wi-FiSnapdragon 695 5G, Octa Core, 2.2 GHz Processor8 GB RAM, 128 GB inbuilt5000 mAh Battery with 67W Fast Charging6.72 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole108 MP + 2 MP + 2 MP Triple Rear & 16 MP Front CameraMemory Card (Hybrid), upto 1 TBAndroid v1385Spec ScoreCompareLikeView →","OnePlus Nord CE 3 Lite 5G₹14,7056%Dual Sim, 3G, 4G, 5G, VoLTE, Wi-FiSnapdragon 695 5G, Octa Core, 2.2 GHz Processor8 GB RAM, 128 GB inbuilt5000 mAh Battery with 67W Fast Charging6.72 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole108 MP + 2 MP + 2 MP Triple Rear & 16 MP Front CameraMemory Card (Hybrid), upto 1 TBAndroid v1385Spec ScoreCompareLikeView →"
Vivo V40 5G,"₹32,490",85,"Vivo V40 5G₹32,490Dual Sim, 3G, 4G, 5G, VoLTE, Wi-FiSnapdragon 7 Gen3, Octa Core, 2.63 GHz Processor8 GB RAM, 128 GB inbuilt5500 mAh Battery with 80W Fast Charging6.78 inches, 1260 x 2800 px, 120 Hz Display with Punch Hole50 MP + 50 MP Dual Rear & 50 MP Front CameraMemory Card Not SupportedAndroid v1485Spec ScoreCompareLikeView →","Vivo V40 5G₹32,490Dual Sim, 3G, 4G, 5G, VoLTE, Wi-FiSnapdragon 7 Gen3, Octa Core, 2.63 GHz Processor8 GB RAM, 128 GB inbuilt5500 mAh Battery with 80W Fast Charging6.78 inches, 1260 x 2800 px, 120 Hz Display with Punch Hole50 MP + 50 MP Dual Rear & 50 MP Front CameraMemory Card Not SupportedAndroid v1485Spec ScoreCompareLikeView →","Vivo V40 5G₹32,490Dual Sim, 3G, 4G, 5G, VoLTE, Wi-FiSnapdragon 7 Gen3, Octa Core, 2.63 GHz Processor8 GB RAM, 128 GB inbuilt5500 mAh Battery with 80W Fast Charging6.78 inches, 1260 x 2800 px, 120 Hz Display with Punch Hole50 MP + 50 MP Dual Rear & 50 MP Front CameraMemory Card Not SupportedAndroid v1485Spec ScoreCompareLikeView →","Vivo V40 5G₹32,490Dual Sim, 3G, 4G, 5G, VoLTE, Wi-FiSnapdragon 7 Gen3, Octa Core, 2.63 GHz Processor8 GB RAM, 128 GB inbuilt5500 mAh Battery with 80W Fast Charging6.78 inches, 1260 x 2800 px, 120 Hz Display with Punch Hole50 MP + 50 MP Dual Rear & 50 MP Front CameraMemory Card Not SupportedAndroid v1485Spec ScoreCompareLikeView →","Vivo V40 5G₹32,490Dual Sim, 3G, 4G, 5G, VoLTE, Wi-FiSnapdragon 7 Gen3, Octa Core, 2.63 GHz Processor8 GB RAM, 128 GB inbuilt5500 mAh Battery with 80W Fast Charging6.78 inches, 1260 x 2800 px, 120 Hz Display with Punch Hole50 MP + 50 MP Dual Rear & 50 MP Front CameraMemory Card Not SupportedAndroid v1485Spec ScoreCompareLikeView →","Vivo V40 5G₹32,490Dual Sim, 3G, 4G, 5G, VoLTE, Wi-FiSnapdragon 7 Gen3, Octa Core, 2.63 GHz Processor8 GB RAM, 128 GB inbuilt5500 mAh Battery with 80W Fast Charging6.78 inches, 1260 x 2800 px, 120 Hz Display with Punch Hole50 MP + 50 MP Dual Rear & 50 MP Front CameraMemory Card Not SupportedAndroid v1485Spec ScoreCompareLikeView →","Vivo V40 5G₹32,490Dual Sim, 3G, 4G, 5G, VoLTE, Wi-FiSnapdragon 7 Gen3, Octa Core, 2.63 GHz Processor8 GB RAM, 128 GB inbuilt5500 mAh Battery with 80W Fast Charging6.78 inches, 1260 x 2800 px, 120 Hz Display with Punch Hole50 MP + 50 MP Dual Rear & 50 MP Front CameraMemory Card Not SupportedAndroid v1485Spec ScoreCompareLikeView →","Vivo V40 5G₹32,490Dual Sim, 3G, 4G, 5G, VoLTE, Wi-FiSnapdragon 7 Gen3, Octa Core, 2.63 GHz Processor8 GB RAM, 128 GB inbuilt5500 mAh Battery with 80W Fast Charging6.78 inches, 1260 x 2800 px, 120 Hz Display with Punch Hole50 MP + 50 MP Dual Rear & 50 MP Front CameraMemory Card Not SupportedAndroid v1485Spec ScoreCompareLikeView →"
Motorola Edge 50 Fusion,"₹22,999",85,"Motorola Edge 50 Fusion₹22,9993%Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFCSnapdragon 7s Gen2, Octa Core, 2.4 GHz Processor8 GB RAM, 128 GB inbuilt5000 mAh Battery with 68W Fast Charging6.67 inches, 1080 x 2400 px, 144 Hz Display with Punch Hole50 MP + 13 MP Dual Rear & 32 MP Front CameraMemory Card Not SupportedAndroid v1485Spec ScoreCompareLikeView →","Motorola Edge 50 Fusion₹22,9993%Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFCSnapdragon 7s Gen2, Octa Core, 2.4 GHz Processor8 GB RAM, 128 GB inbuilt5000 mAh Battery with 68W Fast Charging6.67 inches, 1080 x 2400 px, 144 Hz Display with Punch Hole50 MP + 13 MP Dual Rear & 32 MP Front CameraMemory Card Not SupportedAndroid v1485Spec ScoreCompareLikeView →","Motorola Edge 50 Fusion₹22,9993%Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFCSnapdragon 7s Gen2, Octa Core, 2.4 GHz Processor8 GB RAM, 128 GB inbuilt5000 mAh Battery with 68W Fast Charging6.67 inches, 1080 x 2400 px, 144 Hz Display with Punch Hole50 MP + 13 MP Dual Rear & 32 MP Front CameraMemory Card Not SupportedAndroid v1485Spec ScoreCompareLikeView →","Motorola Edge 50 Fusion₹22,9993%Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFCSnapdragon 7s Gen2, Octa Core, 2.4 GHz Processor8 GB RAM, 128 GB inbuilt5000 mAh Battery with 68W Fast Charging6.67 inches, 1080 x 2400 px, 144 Hz Display with Punch Hole50 MP + 13 MP Dual Rear & 32 MP Front CameraMemory Card Not SupportedAndroid v1485Spec ScoreCompareLikeView →","Motorola Edge 50 Fusion₹22,9993%Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFCSnapdragon 7s Gen2, Octa Core, 2.4 GHz Processor8 GB RAM, 128 GB inbuilt5000 mAh Battery with 68W Fast Charging6.67 inches, 1080 x 2400 px, 144 Hz Display with Punch Hole50 MP + 13 MP Dual Rear & 32 MP Front CameraMemory Card Not SupportedAndroid v1485Spec ScoreCompareLikeView →","Motorola Edge 50 Fusion₹22,9993%Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFCSnapdragon 7s Gen2, Octa Core, 2.4 GHz Processor8 GB RAM, 128 GB inbuilt5000 mAh Battery with 68W Fast Charging6.67 inches, 1080 x 2400 px, 144 Hz Display with Punch Hole50 MP + 13 MP Dual Rear & 32 MP Front CameraMemory Card Not SupportedAndroid v1485Spec ScoreCompareLikeView →","Motorola Edge 50 Fusion₹22,9993%Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFCSnapdragon 7s Gen2, Octa Core, 2.4 GHz Processor8 GB RAM, 128 GB inbuilt5000 mAh Battery with 68W Fast Charging6.67 inches, 1080 x 2400 px, 144 Hz Display with Punch Hole50 MP + 13 MP Dual Rear & 32 MP Front CameraMemory Card Not SupportedAndroid v1485Spec ScoreCompareLikeView →","Motorola Edge 50 Fusion₹22,9993%Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFCSnapdragon 7s Gen2, Octa Core, 2.4 GHz Processor8 GB RAM, 128 GB inbuilt5000 mAh Battery with 68W Fast Charging6.67 inches, 1080 x 2400 px, 144 Hz Display with Punch Hole50 MP + 13 MP Dual Rear & 32 MP Front CameraMemory Card Not SupportedAndroid v1485Spec ScoreCompareLikeView →"
